,base_market,quote_market,p_value,t_value,c_value,hedge_ratio,half_life,zero_crossings
0,ALGO-USD,UMA-USD,0.01,-4.05,-3.35,0.12,10.0,46
1,ALGO-USD,SUSHI-USD,0.0,-5.06,-3.35,0.18,5.0,72
2,ALGO-USD,CELO-USD,0.03,-3.56,-3.35,0.35,17.0,11
3,ALGO-USD,LINK-USD,0.01,-4.08,-3.35,0.03,20.0,9
4,ALGO-USD,DOGE-USD,0.01,-4.0,-3.35,2.7,17.0,11
5,ALGO-USD,BCH-USD,0.04,-3.4,-3.35,0.0,13.0,29
6,ALGO-USD,XLM-USD,0.0,-4.77,-3.35,2.61,13.0,28
7,ETH-USD,UMA-USD,0.03,-3.49,-3.35,822.3,1.0,40
8,ETH-USD,SOL-USD,0.0,-6.61,-3.35,72.61,6.0,13
9,ETH-USD,ENJ-USD,0.0,-6.51,-3.35,4179.72,4.0,9
10,ETH-USD,CELO-USD,0.03,-3.57,-3.35,2369.9,2.0,13
11,ETH-USD,XTZ-USD,0.0,-9.6,-3.35,1545.75,1.0,15
12,ETH-USD,BTC-USD,0.0,-5.48,-3.35,0.07,1.0,37
13,ETH-USD,LINK-USD,0.01,-3.8,-3.35,228.17,1.0,15
14,ETH-USD,COMP-USD,0.0,-4.99,-3.35,32.89,3.0,5
15,ETH-USD,YFI-USD,0.02,-3.7,-3.35,0.22,1.0,19
16,ETH-USD,ICP-USD,0.02,-3.67,-3.35,303.68,1.0,31
17,ETH-USD,DOT-USD,0.0,-5.02,-3.35,264.25,1.0,33
18,ETH-USD,DOGE-USD,0.01,-4.02,-3.35,18160.54,1.0,19
19,ETH-USD,TRX-USD,0.01,-3.99,-3.35,25101.62,1.0,13
20,ETH-USD,NEAR-USD,0.01,-3.79,-3.35,725.47,3.0,15
21,ETH-USD,ZRX-USD,0.0,-5.68,-3.35,7536.38,1.0,29
22,ETH-USD,MATIC-USD,0.01,-4.05,-3.35,1591.51,1.0,23
23,ETH-USD,BCH-USD,0.0,-4.33,-3.35,12.45,1.0,32
24,ETH-USD,AVAX-USD,0.0,-5.05,-3.35,95.78,2.0,17
25,ETH-USD,RUNE-USD,0.0,-5.75,-3.35,918.41,1.0,27
26,UMA-USD,CELO-USD,0.04,-3.47,-3.35,2.88,16.0,36
27,UMA-USD,ICP-USD,0.0,-4.22,-3.35,0.37,21.0,17
28,UMA-USD,DOT-USD,0.02,-3.69,-3.35,0.32,14.0,20
29,UMA-USD,BCH-USD,0.04,-3.38,-3.35,0.02,10.0,54
30,UMA-USD,XLM-USD,0.01,-3.95,-3.35,21.34,9.0,34
31,1INCH-USD,DOGE-USD,0.04,-3.42,-3.35,5.68,24.0,17
32,1INCH-USD,XLM-USD,0.0,-4.61,-3.35,5.5,17.0,45
33,SOL-USD,COMP-USD,0.0,-4.42,-3.35,0.45,13.0,51
34,ADA-USD,SUSHI-USD,0.0,-4.29,-3.35,0.28,10.0,55
35,ADA-USD,ATOM-USD,0.01,-3.98,-3.35,0.03,9.0,40
36,ADA-USD,LINK-USD,0.0,-5.07,-3.35,0.05,20.0,31
37,ADA-USD,DOGE-USD,0.0,-4.73,-3.35,4.11,18.0,35
38,ADA-USD,MKR-USD,0.02,-3.67,-3.35,0.0,12.0,38
39,ADA-USD,BCH-USD,0.02,-3.73,-3.35,0.0,14.0,36
40,ADA-USD,XLM-USD,0.0,-4.41,-3.35,3.97,17.0,46
41,ENJ-USD,CRV-USD,0.01,-4.09,-3.35,0.43,19.0,17
42,ENJ-USD,SNX-USD,0.0,-4.59,-3.35,0.17,11.0,45
43,SUSHI-USD,CELO-USD,0.01,-3.97,-3.35,1.91,16.0,11
44,SUSHI-USD,XTZ-USD,0.0,-5.2,-3.35,1.25,20.0,19
45,SUSHI-USD,DOT-USD,0.02,-3.67,-3.35,0.21,18.0,39
46,SUSHI-USD,DOGE-USD,0.02,-3.63,-3.35,14.65,15.0,29
47,SUSHI-USD,UNI-USD,0.02,-3.65,-3.35,0.19,13.0,27
48,SUSHI-USD,BCH-USD,0.01,-3.78,-3.35,0.01,12.0,48
49,SUSHI-USD,XLM-USD,0.0,-4.88,-3.35,14.16,13.0,44
50,FIL-USD,ICP-USD,0.0,-4.81,-3.35,0.89,12.0,25
51,FIL-USD,NEAR-USD,0.0,-4.74,-3.35,2.13,8.0,63
52,FIL-USD,ZRX-USD,0.01,-4.06,-3.35,22.02,16.0,37
53,CELO-USD,YFI-USD,0.03,-3.52,-3.35,0.0,8.0,34
54,CELO-USD,ICP-USD,0.05,-3.35,-3.35,0.13,9.0,46
